"br","total_mortos"
"0","0"
"10","95"
"20","69"
"30","2"
"40","214"
"50","42"
"60","75"
"70","86"
"80","19"
"101","760"
"104","58"
"110","60"
"116","708"
"122","0"
"135","105"
"146","3"
"153","282"
"155","8"
"156","0"
"158","82"
"163","210"
"174","48"
"210","15"
"222","128"
"226","51"
"230","192"
"232","105"
"235","41"
"242","73"
"251","58"
"259","9"
"262","169"
"265","0"
"267","27"
"272","12"
"277","152"
"280","46"
"282","100"
"285","33"
"287","10"
"290","40"
"293","16"
"304","28"
"307","0"
"308","10"
"316","201"
"317","12"
"319","20"
"324","63"
"330","15"
"343","51"
"349","16"
"354","2"
"356","11"
"359","1"
"361","6"
"364","173"
"365","87"
"367","5"
"369","72"
"373","39"
"376","121"
"381","190"
"386","60"
"392","26"
"393","29"
"401","8"
"402","23"
"403","3"
"405","22"
"406","7"
"407","48"
"408","24"
"410","2"
"412","10"
"414","25"
"415","4"
"416","6"
"418","7"
"419","1"
"420","10"
"421","1"
"423","59"
"424","23"
"425","2"
"426","0"
"427","6"
"428","13"
"429","7"
"430","0"
"431","0"
"432","5"
"435","9"
"436","0"
"437","0"
"447","2"
"448","2"
"452","9"
"459","16"
"463","8"
"465","4"
"467","1"
"468","7"
"469","0"
"470","123"
"471","5"
"472","8"
"476","55"
"480","3"
"484","0"
"485","0"
"487","10"
"488","1"
"493","23"
"495","0"
