"causa_acidente","total_acidentes","perc_fatais"
"Acessar a via sem observar a presença dos outros veículos","7097","5.55"
"Acesso irregular","768","5.47"
"Acostamento em desnível","167","5.39"
"Acumulo de areia ou detritos sobre o pavimento","308","1.62"
"Acumulo de água sobre o pavimento","477","3.35"
"Acumulo de óleo sobre o pavimento","228","1.32"
"Afundamento ou ondulação no pavimento","206","5.83"
"Animais na Pista","1305","5.52"
"Ausência de reação do condutor","11469","6.79"
"Ausência de sinalização","178","3.93"
"Avarias e/ou desgaste excessivo no pneu","1176","2.21"
"Carga excessiva e/ou mal acondicionada","256","3.91"
"Chuva","1020","3.73"
"Condutor Dormindo","2116","6.38"
"Condutor deixou de manter distância do veículo da frente","4413","1.77"
"Condutor desrespeitou a iluminação vermelha do semáforo","268","2.61"
"Condutor usando celular","189","5.29"
"Conversão proibida","1018","4.72"
"Curva acentuada","203","8.37"
"Declive acentuado","19","0"
"Deficiência do Sistema de Iluminação/Sinalização","165","14.55"
"Deixar de acionar o farol da motocicleta (ou similar)","15","6.67"
"Demais Fenômenos da natureza","84","2.38"
"Demais falhas mecânicas ou elétricas","3385","1.54"
"Demais falhas na via","275","6.91"
"Desrespeitar a preferência no cruzamento","1259","1.75"
"Desvio temporário","45","4.44"
"Entrada inopinada do pedestre","667","30.43"
"Estacionar ou parar em local proibido","182","5.49"
"Faixas de trânsito com largura insuficiente","12","0"
"Falta de acostamento","60","18.33"
"Falta de elemento de contenção que evite a saída do leito carroçável","59","5.08"
"Faróis desregulados","9","0"
"Frear bruscamente","358","1.68"
"Fumaça","31","0"
"Iluminação deficiente","157","14.65"
"Ingestão de substâncias psicoativas pelo condutor","62","4.84"
"Ingestão de álcool pelo condutor","3685","4.88"
"Mal súbito do condutor","546","13.37"
"Manobra de mudança de faixa","4016","4.01"
"Modificação proibida","11","18.18"
"Neblina","50","2"
"Objeto estático sobre o leito carroçável","412","3.88"
"Participar de racha","22","27.27"
"Pedestre - Ingestão de álcool/ substâncias psicoativas","150","18"
"Pedestre andava na pista","606","41.25"
"Pedestre cruzava a pista fora da faixa","525","24.76"
"Pista Escorregadia","545","4.22"
"Pista esburacada","232","5.17"
"Problema com o freio","247","7.69"
"Problema na suspensão","38","2.63"
"Reação tardia ou ineficiente do condutor","10799","4.89"
"Redutor de velocidade em desacordo","8","0"
"Restrição de visibilidade em curvas horizontais","23","4.35"
"Restrição de visibilidade em curvas verticais","13","15.38"
"Retorno proibido","325","4.31"
"Semáforo com defeito","8","12.5"
"Sinalização encoberta","2","0"
"Sinalização mal posicionada","61","8.2"
"Sistema de drenagem ineficiente","2","0"
"Suicídio (presumido)","190","55.79"
"Trafegar com motocicleta (ou similar) entre as faixas","1325","4"
"Transitar na calçada","11","0"
"Transitar na contramão","2475","29.74"
"Transitar no Acostamento","498","13.05"
"Transtornos Mentais (exceto suicidio)","59","16.95"
"Ultrapassagem Indevida","1770","17.06"
"Velocidade Incompatível","4088","9.42"
"Área urbana sem a presença de local apropriado para a travessia de pedestres","81","14.81"
