"uf","total_acidentes","total_mortos","perc_fatais"
"AC","280","29","10.36"
"AL","629","96","13.67"
"AM","138","26","13.77"
"AP","169","14","5.33"
"BA","4108","583","11.59"
"CE","1302","171","11.75"
"DF","1011","47","4.25"
"ES","2642","161","5.49"
"GO","3196","308","7.73"
"MA","1262","281","18.7"
"MG","9570","765","6.76"
"MS","1654","150","8.22"
"MT","2636","243","7.74"
"PA","1117","224","17.28"
"PB","1978","142","6.42"
"PE","3013","336","10.02"
"PI","1490","168","10"
"PR","7630","593","6.7"
"RJ","6428","330","4.76"
"RN","1648","111","6.19"
"RO","1452","102","5.92"
"RR","142","28","16.2"
"RS","4899","327","5.61"
"SC","8186","434","4.57"
"SE","589","51","7.47"
"SP","4683","221","4.38"
"TO","677","102","12.26"
